TIME,TEMPERATURE
00:00:00,6
00:15:00,6
00:30:00,6
00:45:00,6
01:00:00,6
01:15:00,6
01:30:00,6
01:45:00,6
02:00:00,6
02:15:00,6
02:30:00,6
02:45:00,6
03:00:00,6
03:15:00,6
03:30:00,6
03:45:00,6
04:00:00,6
04:15:00,6
04:30:00,6
04:45:00,6
05:00:00,7
05:15:00,7
05:30:00,7
05:45:00,7
06:00:00,7
06:15:00,8
06:30:00,8
06:45:00,8
07:00:00,8
07:15:00,9
07:30:00,9
07:45:00,9
08:00:00,10
08:15:00,10
08:30:00,10
08:45:00,10
09:00:00,10
09:15:00,11
09:30:00,11
09:45:00,11
10:00:00,11
10:15:00,11
10:30:00,11
10:45:00,11
11:00:00,12
11:15:00,12
11:30:00,12
11:45:00,12
12:00:00,12
12:15:00,12
12:30:00,12
12:45:00,12
13:00:00,12
13:15:00,12
13:30:00,12
13:45:00,12
14:00:00,12
14:15:00,12
14:30:00,12
14:45:00,12
15:00:00,12
15:15:00,12
15:30:00,12
15:45:00,12
16:00:00,12
16:15:00,11
16:30:00,11
16:45:00,11
17:00:00,11
17:15:00,11
17:30:00,10
17:45:00,10
18:00:00,10
18:15:00,10
18:30:00,9
18:45:00,9
19:00:00,9
19:15:00,8
19:30:00,8
19:45:00,8
20:00:00,8
20:15:00,7
20:30:00,7
20:45:00,7
21:00:00,7
21:15:00,7
21:30:00,7
21:45:00,7
22:00:00,7
22:15:00,7
22:30:00,6
22:45:00,6
23:00:00,6
23:15:00,6
23:30:00,6
23:45:00,6
